[3;J[H[2Jadd1, add, Fail, QFSW, exit code 0 (expected 12)
add2, add, Fail, QFSW, negative rt; exit code 0 (expected 3)
add3, add, Fail, QFSW, negative rs; exit code 0 (expected 8)
add4, add, Pass, QFSW, overflow; exit code -10
add5, add, Pass, QFSW, overflow; exit code -10
add6, add, Pass, QFSW, underflow; exit code -10
add7, add, Pass, QFSW, underflow; exit code -10
addi1, addi, Fail, QFSW, exit code 0 (expected 27)
addi2, addi, Fail, QFSW, negative immediate; exit code 0 (expected 2)
addi3, addi, Fail, QFSW, overflow; exit code 0 (expected -10)
addi4, addi, Fail, ChrisDeverall, underflow; exit code 0 (expected -10)
addi5, addi, Pass, QFSW, sign-extension; exit code 0
addiu1, addiu, Fail, QFSW, exit code 0 (expected 2)
addiu2, addiu, Pass, QFSW, overflow; exit code 0
addiu3, addiu, Fail, ChrisDeverall, underflow; exit code 0 (expected -100)
addiu4, addiu, Fail, QFSW, sign-extension; exit code 1 (expected 0)
addu1, addu, Fail, ChrisDeverall, standard; exit code 0 (expected 10)
addu2, addu, Fail, ChrisDeverall, overflow; exit code 0 (expected 2)
addu3, addu, Fail, ChrisDeverall, underflow; exit code 0 (expected 1)
and1, and, Fail, QFSW, exit code 1 (expected 0)
and2, and, Pass, QFSW, exit code 1
andi1, andi, Fail, ChrisDeverall, exit code -1 (expected 18)
andi2, andi, Pass, ChrisDeverall, exit code 0
andi3, andi, Pass, QFSW, zero-extension; exit code 0
beq1, beq, Fail, QFSW, rs==rt; exit code 4 (expected 2)
beq2, beq, Pass, QFSW, rs!=rt; exit code 4
beq3, beq, Fail, QFSW, bad-pc; exit code 0 (expected -11)
beq4, beq, Fail, QFSW, bad-pc; exit code 0 (expected -11)
beq5, beq, Pass, QFSW, backwards-branch; exit code 0
bgez1, bgez, Fail, QFSW, rs==0; exit code 4 (expected 2)
bgez2, bgez, Pass, QFSW, rs<0; exit code 4
bgez3, bgez, Fail, QFSW, bad-pc; exit code 0 (expected -11)
bgez4, bgez, Fail, QFSW, bad-pc; exit code 0 (expected -11)
bgez5, bgez, Fail, QFSW, backwards-branch; exit code 69 (expected 0)
bgez6, bgez, Fail, QFSW, rs>0; exit code 4 (expected 2)
bgezal1, bgezal, Fail, QFSW, rs>0; exit code 7 (expected 17)
bgezal2, bgezal, Pass, QFSW, rs<0; exit code 4
bgezal3, bgezal, Pass, QFSW, link-set; exit code 13
bgezal4, bgezal, Fail, QFSW, rs=0; exit code 7 (expected 17)
bgtz1, bgtz, Fail, QFSW, rs>0; exit code 4 (expected 2)
bgtz2, bgtz, Pass, QFSW, rs=0; exit code 4
bgtz3, bgtz, Fail, QFSW, bad-pc; exit code 0 (expected -11)
bgtz4, bgtz, Fail, QFSW, bad-pc; exit code 0 (expected -11)
bgtz5, bgtz, Fail, QFSW, backwards-branch; exit code 69 (expected 0)
bgtz6, bgtz, Pass, QFSW, rs<0; exit code 4
blez1, blez, Pass, QFSW, rs>0; exit code 4
blez2, blez, Fail, QFSW, rs=0; exit code 4 (expected 2)
blez3, blez, Fail, QFSW, bad-pc; exit code 0 (expected -11)
blez4, blez, Fail, QFSW, bad-pc; exit code 0 (expected -11)
blez5, blez, Fail, QFSW, backwards-branch; exit code 69 (expected 0)
blez6, blez, Fail, QFSW, rs<0; exit code 4 (expected 2)
bltz1, bltz, Pass, QFSW, rs>0; exit code 4
bltz2, bltz, Pass, QFSW, rs=0; exit code 4
bltz3, bltz, Fail, QFSW, bad-pc; exit code 0 (expected -11)
bltz4, bltz, Fail, QFSW, bad-pc; exit code 0 (expected -11)
bltz5, bltz, Fail, QFSW, backwards-branch; exit code 69 (expected 0)
bltz6, bltz, Fail, QFSW, rs<0; exit code 4 (expected 2)
bltzal1, bltzal, Pass, QFSW, rs>0; exit code 7
bltzal2, bltzal, Fail, QFSW, rs<0; exit code 4 (expected 14)
bltzal3, bgezal, Pass, QFSW, link-set; exit code 13
bltzal4, bltzal, Pass, QFSW, rs=0; exit code 4
bne1, bne, Pass, QFSW, rs==rt; exit code 4
bne2, bne, Fail, QFSW, rs!=rt; exit code 4 (expected 2)
bne3, bne, Fail, QFSW, bad-pc; exit code 100 (expected -11)
bne4, bne, Fail, QFSW, bad-pc; exit code 100 (expected -11)
bne5, bne, Pass, QFSW, backwards-branch; exit code 0
div1, div, Fail, ChrisDeverall, standard_quot; exit code 0 (expected 12)
div2, div, Pass, ChrisDeverall, standard_remain; exit code 0
