[3;J[H[2Jadd1, add, Pass, QFSW, exit code 12
add2, add, Pass, QFSW, negative rt; exit code 3
add3, add, Pass, QFSW, negative rs; exit code 8
add4, add, Pass, QFSW, overflow; exit code -10
add5, add, Pass, QFSW, overflow; exit code -10
add6, add, Pass, QFSW, underflow; exit code -10
add7, add, Pass, QFSW, underflow; exit code -10
addi1, addi, Pass, QFSW, exit code 27
addi2, addi, Pass, QFSW, negative immediate; exit code 2
addi3, addi, Pass, QFSW, overflow; exit code -10
addi4, addi, Pass, ChrisDeverall, underflow; exit code -10
addi5, addi, Pass, QFSW, sign-extension; exit code 0
addiu1, addiu, Pass, QFSW, exit code 2
addiu2, addiu, Pass, QFSW, overflow; exit code 0
addiu3, addiu, Pass, ChrisDeverall, underflow; exit code -100
addiu4, addiu, Pass, QFSW, sign-extension; exit code 0
addu1, addu, Pass, ChrisDeverall, standard; exit code 10
addu2, addu, Pass, ChrisDeverall, overflow; exit code 2
addu3, addu, Pass, ChrisDeverall, underflow; exit code 1
and1, and, Pass, QFSW, exit code 0
and2, and, Pass, QFSW, exit code 1
andi1, andi, Pass, ChrisDeverall, exit code 18
andi2, andi, Pass, ChrisDeverall, exit code 0
andi3, andi, Pass, QFSW, zero-extension; exit code 0
beq1, beq, Pass, QFSW, rs==rt; exit code 2
beq2, beq, Pass, QFSW, rs!=rt; exit code 4
beq3, beq, Pass, QFSW, bad-pc; exit code -11
beq4, beq, Pass, QFSW, bad-pc; exit code -11
beq5, beq, Pass, QFSW, backwards-branch; exit code 0
bgez1, bgez, Pass, QFSW, rs==0; exit code 2
bgez2, bgez, Pass, QFSW, rs<0; exit code 4
bgez3, bgez, Pass, QFSW, bad-pc; exit code -11
bgez4, bgez, Pass, QFSW, bad-pc; exit code -11
bgez5, bgez, Pass, QFSW, backwards-branch; exit code 0
bgez6, bgez, Pass, QFSW, rs>0; exit code 2
bgezal1, bgezal, Pass, QFSW, rs>0; exit code 17
bgezal2, bgezal, Pass, QFSW, rs<0; exit code 4
bgezal3, bgezal, Pass, QFSW, link-set; exit code 13
bgezal4, bgezal, Pass, QFSW, rs=0; exit code 17
bgtz1, bgtz, Pass, QFSW, rs>0; exit code 2
bgtz2, bgtz, Pass, QFSW, rs=0; exit code 4
bgtz3, bgtz, Pass, QFSW, bad-pc; exit code -11
bgtz4, bgtz, Pass, QFSW, bad-pc; exit code -11
bgtz5, bgtz, Pass, QFSW, backwards-branch; exit code 0
bgtz6, bgtz, Pass, QFSW, rs<0; exit code 4
blez1, blez, Pass, QFSW, rs>0; exit code 4
blez2, blez, Pass, QFSW, rs=0; exit code 2
blez3, blez, Pass, QFSW, bad-pc; exit code -11
blez4, blez, Pass, QFSW, bad-pc; exit code -11
blez5, blez, Pass, QFSW, backwards-branch; exit code 0
